unique_id,ExtraDay
P05C_M_VR,0
A85A_M_VR,0
H33B_S_VR,0
N05_S_VR,0
Y44B_S_VR,0
X08A_S_VR,0
B74A_S_VR,0
B55A_S_VR,0
X02D_S_VR,0
T58D_S_VR,0
N14C_S_VR,0
Z30_S_VR,0
A53_S_VR,0
B54A_S_VR,0
D55A_S_VR,0
S20C_L_PO,0
L68B_S_VR,0
A07_S_VR,0
L114_S_VR,0
Z25_S_VR,0
D52_S_VR,0
K68A_S_VR,0
X09B_S_VR,0
L29_S_VR,0
L29_L_VR,0
N11D_S_VR,0
B58B_M_VR,0
B58B_S_VR,0
Y26C_S_VR,0
S20V_S_PO,0
Q06C_M_VR,0
Y51_S_VR,0
D44B_S_VR,0
V76A_S_VR,0
D90B_S_VR,0
D90B_M_VR,0
A88A_L_PO,0
K71A_S_VR,0
B88V_M_VR,0
N16AV_M_VR,1
N44I_L_VR,1
D92B_S_VR,0
X84_S_VR,0
B82B_S_VR,1
Q31B_L_VR,0
B55V_S_PO,0
A54A_S_VR,0
N44_L_VR,1
V88B_S_VR,0
V77A_S_VR,0
S20B_S_VR,0
D47A_S_VR,0
B55V_M_PO,0
T59_S_VR,0
S22_S_VR,0
S01A_S_VR,1
A52B_S_VR,0
V88A_S_VR,0
X09C_L_VR,0
D95A_S_VR,0
L20B_S_VR,0
D93B_S_VR,0
D95B_S_VR,0
A51A_S_VR,0
B81V_S_PO,1
Q31B_S_VR,1
C62B_S_VR,0
Z44_S_VR,0
T60B_S_VR,0
Y42B_M_VR,0
B56V_M_PO,0
Q30A_S_VR,0
B53_M_VR,0
N06_S_VR,0
Y08B_S_VR,0
S21A_S_VR,1
I61B_S_VR,0
D54A_S_VR,0
A05A_S_VR,0
K68B_S_VR,0
C22C_S_VR,0
H33A_S_VR,0
W98_S_VR,0
B08B_S_VR,0
B56A_S_VR,0
N16A_S_VR,1
T62B_S_VR,0
B54B_S_VR,0
W79A_S_VR,0
B58A_S_VR,0
X80A_S_VR,0
X80A_L_VR,0
S05C_S_VR,0
W79B_S_VR,0
X90B_L_VR,0
D94A_S_VR,0
N08B_M_VR,0
Y58A_S_VR,0
C23A_S_VR,0
B09_S_VR,0
B77A_S_VR,0
Y27A_S_VR,0
I14_M_VR,0
T58B_S_VR,0
D88A_S_VR,0
V86A_S_VR,0
A66B_S_VR,0
D51_M_VR,0
A61A_S_VR,0
D38B_S_VR,0
K67B_S_VR,0
V79_S_VR,0
N15_S_VR,0
D89A_S_VR,0
Y53A_S_VR,0
C20A_S_VR,0
A66B_L_PO,0
H39A_S_VR,0
W77B_S_VR,0
L117_S_VR,0
X89A_S_VR,0
D20A_S_VR,0
D09_S_VR,0
Z45_S_VR,0
H54_M_VR,0
T60A_S_VR,0
H54_S_VR,0
D93A_S_VR,0
P05B_S_VR,0
H40B_S_VR,0
Q31A_S_VR,0
A61B_S_VR,0
D47B_S_VR,0
X83_S_VR,0
B82A_S_VR,1
B52V_L_PO,0
Z47_S_VR,0
T61_S_VR,0
Y04C_L_PO,0
C63_S_VR,0
N10B_S_VR,0
C22B_S_VR,0
L115A_S_VR,0
A67B_L_PO,0
S05B_L_VR,0
A61B_L_PO,0
D92A_S_VR,0
Z27B_S_VR,0
N43_M_VR,0
N09B_S_VR,0
D36B_S_VR,0
A02B_S_VR,0
L21_S_VR,0
T58A_S_VR,0
N11C_S_VR,0
Z26_S_VR,0
Y42B_S_VR,0
L79B_S_VR,0
B85_M_VR,0
X06C_L_VR,0
V75A_S_VR,0
H25_S_VR,0
Y04B_S_VR,0
L72A_S_VR,0
Y58B_S_VR,0
Y58B_L_VR,0
A04A_S_VR,0
Z29_S_VR,0
X06C_S_VR,0
X02A_S_VR,0
H30C_S_VR,0
A57B_S_VR,0
Y58C_S_VR,0
B56V_S_PO,0
X88A_S_VR,0
B55B_S_VR,0
L79A_S_VR,0
N14A_S_VR,0
X08C_S_VR,0
D20B_S_VR,0
N07A_S_VR,0
J07_M_VR,0
A66A_S_VR,0
V45B_M_VR,0
N10A_S_VR,0
B58V_S_PO,0
K66A_S_VR,0
B08A_S_VR,0
V78_M_VR,0
L22_S_VR,0
B49B_M_VR,0
K74A_S_VR,0
L113_S_VR,0
A33C_S_VR,0
Y28_S_VR,0
L92B_M_VR,0
L112_S_VR,0
Y61B_S_VR,0
D65A_S_VR,0
Y25A_S_VR,0
P45_S_VR,0
V08_S_VR,0
N41A_S_VR,1
N41A_M_VR,1
